ano,data,codigo,programa,cargo,observacao,estado,eleicao_municipal,municipio,tem_dvd_fisico,dvd_funciona,dvd_no_drive,dvd_no_hd,backup_ok,partidos
1994,1994-08-12 00:00:00,001-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR, DEPUTADO FEDERAL, DEPUTADO ESTADUAL, PREFEITO",,"BRASIL, RJ",SIM,Rio de Janeiro,SIM,Sim,,NÃO,SIM,PCDOB;PDT;PFL;PL;PMDB;PPR;PPS;PRN;PSB;PSD;PSDB;PSTU;PT;PTB;PV
1994,1994-08-12 00:00:00,001-94b,HGPE,"PRESIDENTE, GOVERNADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PRP;PSC;PSDB;PT;PTC
1994,1994-08-12 00:00:00,001-94c,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,RJ,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT;PTC
1994,1994-08-05 00:00:00,1.2-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PT
1994,1994-08-07 00:00:00,1.3-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-08-08 00:00:00,1.3-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-08-10 00:00:00,1.3-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-06-17 00:00:00,002-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT;PTC
1994,1994-06-17 00:00:00,002-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR, DEPUTADO FEDERAL, DEPUTADO ESTADUAL",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PFL;PL;PMDB;PPR;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-18 00:00:00,002-94c,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-18 00:00:00,003-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSD;PSDB;PT
1994,1994-06-18 00:00:00,003-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSD;PSDB;PT;PTRB
1994,1994-06-18 00:00:00,003-94c,HGPE,"PRESIDENTE, GOVERNADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSD;PSDB;PT
1994,1994-08-31 00:00:00,004-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSDB;PT;PTB
1994,1994-06-20 00:00:00,004-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSC;PSD;PSDB;PT;PTB
1994,1994-06-20 00:00:00,004-94c,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT;PTB
1994,1994-06-20 00:00:00,005-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSDB;PT;PTB
1994,1994-06-20 00:00:00,005-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSB;PSC;PSD;PSDB;PT
1994,1994-06-23 00:00:00,005-94c,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSD;PSDB;PT;PTC
1994,1994-06-23 00:00:00,006-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-23 00:00:00,006-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-23 00:00:00,006-94c,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSB;PSC;PSD;PSDB;PT
1994,1994-06-23 00:00:00,007-94a,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-24 00:00:00,007-94b,HGPE,"PRESIDENTE, GOVERNADOR, SENADOR",,"BRASIL, RJ",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSD;PSDB;PT
1994,1994-06-24 00:00:00,009-94,TELEJORNAL,,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PP;PRP;PSB;PSDB;PSTU;PT
1994,1994-06-24 00:00:00,010-94a,TELEJORNAL,,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PT
1994,1994-06-24 00:00:00,010-94b,TELEJORNAL,,,BRASIL,NÃO,,NÃO,Sim,,NÃO,SIM,
1994,1994-06-24 00:00:00,010-94c,TELEJORNAL,,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,
1994,1994-06-25 00:00:00,011-94a,TELEJORNAL,,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,
1994,1994-06-26 00:00:00,1.3-94 (DVD II),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-09-18 00:00:00,1.3-94 (DVD III),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-08-03 00:00:00,1.4-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT
1994,1994-08-03 00:00:00,1.10-94,HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PL;PMDB
1994,1994-09-07 00:00:00,1.10-94 (DVD II),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PMDB
1994,1994-08-03 00:00:00,1.11-94 (DVD I),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PPR
1994,1994-09-26 00:00:00,1.11-94 (DVD II),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PPR
1994,1994-06-25 00:00:00,012.94a,TELEJORNAL,"PRESIDENTE, GOVERNADOR",,"BRASIL, RJ, MA, PE",NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PSD;PSDB;PSTU;PT
1994,1994-06-25 00:00:00,012-94b,TELEJORNAL,"DEPUTADO FEDERAL, DEPUTADO ESTADUAL",,SP,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PSDB
1994,1994-08-03 00:00:00,Campanha presidencial  1994 (DVD I),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-08-10 00:00:00,Campanha presidencial 1994 (DVD II),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-08-13 00:00:00,Campanha presidencial (DVD III),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-08-22 00:00:00,Campanha presidencial (DVD IV),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PRP;PSC;PSDB;PT
1994,1994-08-29 00:00:00,Campanha presidencial (DVD V),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRONA;PSC;PSDB;PT
1994,1994-09-05 00:00:00,Campanha presidencial (DVD VI),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-09-11 00:00:00,Campanha presidencial (DVD VII),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-09-16 00:00:00,Campanha presidencial (DVD VIII),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSDB;PT
1994,1994-09-23 00:00:00,Campanha presidencial (DVD IX),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-09-25 00:00:00,Campanha presidencial (DVD X),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PMDB;PPR;PRN;PSC;PSDB;PT
1994,1994-08-03 00:00:00,FHC 1994 (DVD I),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PDT;PL;PMDB;PPR;PRN;PRONA;PSC;PSDB;PT
1994,1994-09-18 00:00:00,FHC 1994 (DVD II),HGPE,PRESIDENTE,,BRASIL,NÃO,,SIM,Sim,,NÃO,SIM,PSDB
1994,1994-08-03 00:00:00,Garotinho 1994 2.1.4-94,HGPE,GOVERNADOR,,RJ,NÃO,,SIM,Sim,,NÃO,SIM,PDT
2000,2000-08-16 00:00:00,Prefeito 2000 - 001/00 (DVD I),HGPE,PREFEITO,,RJ,SIM,Rio de Janeiro,SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PHS;PPR;PRONA;PRP;PSB;PSDB;PSDC;PSTU;PT;PTB;PTDOB;PV
2000,2000-11-12 00:00:00,Prefeito 2000 - 001/00 (DVD II),HGPE,PREFEITO,,RJ,SIM,Rio de Janeiro,SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PHS;PPR;PRONA;PRP;PSB;PSDB;PSDC;PSTU;PT;PTB;PTDOB;PV
2000,2000-08-08 00:00:00,Prefeito 2000 - 002/00,HGPE,"PREFEITO, VEREADOR",,RJ,SIM,Rio de Janeiro,SIM,Sim,NÃO,SIM,SIM,PCDOB;PCO;PDT;PFL;PMDB;PPR;PRONA;PRP;PSB;PSDB;PSDC;PSTU;PT;PTB;PV
2000,2000-11-12 00:00:00,Prefeito 2000 - 003/00,HGPE,PREFEITO,,RJ,SIM,Rio de Janeiro,SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PHS;PPR;PRP;PSB;PSDB;PSDC;PSTU;PT;PTB;PTDOB;PV
2000,2000-11-12 00:00:00,Prefeito 2000 - 004/00a,HGPE,PREFEITO,,RJ,SIM,Rio de Janeiro,SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PHS;PPR;PRONA;PRP;PSB;PSDB;PSDC;PSTU;PT;PTB;PTDOB;PV
2000,2000-08-15 00:00:00,Presidente 100/00a,HGPE,PREFEITO,,BA,SIM,Salvador (BA),SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PSDB;PT
2000,2000-08-15 00:00:00,Presidente 100/00b,HGPE,PREFEITO,,BA,SIM,Salvador (BA),SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PMDB;PSDB;PT
2000,2000-08-15 00:00:00,Presidente 100/00d,HGPE,PREFEITO,,BA,SIM,Salvador (BA),SIM,Sim,NÃO,SIM,SIM,PCO;PDT;PFL;PSDB;PT
2000,2000-08-15 00:00:00,Edição Especial PFL,PROPAGANDA PARTIDÁRIA,,,,NÃO,,SIM,Sim,NÃO,SIM,SIM,PFL
