ano,eleicao,cargo,turno,titulo,url
1998,Proporcional,Deputado Estadual,,PAN,https://drive.google.com/file/d/1KOa1FIu3BttyEyDgs3Uo03rGt_u3dDu1/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PC do B,https://drive.google.com/file/d/1RinKmcrWxTXeLCBg9TuykQexnKjzO__J/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PCB,https://drive.google.com/file/d/1UKZh2NiELRawW9AZKdsO8R3CZdhTOq22/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PDT,https://drive.google.com/file/d/1UtWOTF0NvxmvdqNp2SwYniK_KNPQzAly/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PFL,https://drive.google.com/file/d/1ayyDNvdO93e3oAhrq9d0J0By_fRF-VXr/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PGT,https://drive.google.com/file/d/1qfmNqmGbBM4h4U5G57bvc1v1TG3iyCS7/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PHS,https://drive.google.com/file/d/1Xgm8wzofe1-4hXrT93rElIgrOyrf3LwE/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PMDB,https://drive.google.com/file/d/1bglJ7ayU_fKfhSFacsxsN3b8zCXvunft/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PMN,https://drive.google.com/file/d/16T0-7gWgzyYqvdxjPmPdYYT7WSZOr2BS/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PP,https://drive.google.com/file/d/1r-GxvvjiXOHV0Dj0inmPM8toGMkU4H90/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PPS,https://drive.google.com/file/d/1i3ocBafUE0aNdXnUWrqX6oga6upKWoiP/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PR,https://drive.google.com/file/d/1smIYFKDYMXTlHM8kX6m193hXwX7flM1l/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PRONA,https://drive.google.com/file/d/1Sbg-NWJy5YitTuAeRZf6ZhOIWhfIJrfZ/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PRP,https://drive.google.com/file/d/18bQZ06Zo3kV6nxMUxROecPCQgl6ojZsa/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PRTB,https://drive.google.com/file/d/1HshI5UJZYzWY7Wmw5-jmTC_z26H1Yb2a/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSB,https://drive.google.com/file/d/1-D7C7HKUaY6spdTJBx_PqcofrJFklYKF/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSC,https://drive.google.com/file/d/1v5hXbBpIfIBy8OzCQt_qHCB_vUDSvn9r/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSD,https://drive.google.com/file/d/1J7Ax43Bn5jcGuDaDgPDMxgBWSqu1r5ef/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSDB,https://drive.google.com/file/d/1hAIYTEWtzJqFCgCWE4ktEbgk9eF9NBvY/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSDC,https://drive.google.com/file/d/1cfnJeZ2afnsnCuv0vOy_iBshb1-753rA/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSL,https://drive.google.com/file/d/1F6dGI1HPuxIRbuJLe81ECaDorZ2ccjJO/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PST,https://drive.google.com/file/d/1IqrQlP6WOxUWgfYLDX-t4uQQKZcuBjVE/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PSTU,https://drive.google.com/file/d/1S2-kMTXfXoAQ9DYCAsRvCAOAnkyxJupC/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PT,https://drive.google.com/file/d/147aX6VRA8P4eEdA_7YcP6kxz6Kqqv4sr/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PT do B,https://drive.google.com/file/d/1pRZXoLY_eNr8CWF7Zhb9wSWTI7NFSEAo/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PTB,https://drive.google.com/file/d/1SNlvvOpcSsIXJG-JPQQUQC2cUle8IwBC/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PTC,https://drive.google.com/file/d/1c0LfUlJxY-OGncw5oUgjAS3EADEQ_fQc/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PTN,https://drive.google.com/file/d/1Ys0jTu7S6l6s1PiTKNl1TaCIXI4u229c/view?usp=sharing
1998,Proporcional,Deputado Estadual,,PV,https://drive.google.com/file/d/1RfbUvWgZagGyvClhIgZyuKBIy8nWAKYP/view?usp=sharing
1998,Majoritaria,Governador,,,https://drive.google.com/file/d/1NQe_wzgqW4o5TwWxNnnaAH7txCrR3noN/view?usp=sharing
1998,Majoritaria,Presidente,,,https://drive.google.com/file/d/1nK2hMAK1F0K6lpa6f1zu54JuLbTbVenZ/view?usp=sharing
1998,Majoritaria,Senador,,,https://drive.google.com/file/d/1Rvi8h8ycjuCCI5tKzobqvUr7yxq9sAnO/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PAN,https://drive.google.com/file/d/1_InVRFEHNpN_6jeytKf6jsiP0kzeIUIv/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PC do B,https://drive.google.com/file/d/1KNqgmyAsAzaGtucbnk5GXSAX8uJIxGMF/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PCO,https://drive.google.com/file/d/17UBW5UNmDew5fK8Y42F_37TJgbSGYoSs/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PDT,https://drive.google.com/file/d/1HB-Ja5U5hLB2pUFXkKa3lPFtvP-nhPep/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PFL,https://drive.google.com/file/d/1oTPs-etpKGx0MUPL3aYYxV3lHP7fP_tL/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PGT,https://drive.google.com/file/d/1_ndgdGTgq_r6obDAc4aeU3EtTO-XqoyA/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PHS,https://drive.google.com/file/d/1CpZRByQmqy3336JSlkDrzqoPQFYcycuX/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PMDB,https://drive.google.com/file/d/12yh34kqNuN8i4RHnR0XzStRGpjtpBvrA/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PMN,https://drive.google.com/file/d/1j70aMfirwBWBjK7Yxi09WUJHePYORid7/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PP,https://drive.google.com/file/d/1I8K1CP0NeAR88tw3S9QC1Q8lBeRAcBmw/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PPS,https://drive.google.com/file/d/1CgZZBJNyDoAQBawG9r8rbwkc9fNa_TnE/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PR,https://drive.google.com/file/d/1AfaQF6BXxwIKNAdmlbBCLxrrO4YRadYb/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PRONA,https://drive.google.com/file/d/1qt50dOjk45INBHu8NNeFLHBARJk-G9sh/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PRP,https://drive.google.com/file/d/1L-TuCOmRT0l97CljWsQZ4dRpNpuu3jDv/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PRTB,https://drive.google.com/file/d/1Glp9MduF8ujz5RoKKx7E8qMeASBi-v67/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSB,https://drive.google.com/file/d/1ikBqAz8kD1zDScPQMWI6uj47G8WXociI/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSC,https://drive.google.com/file/d/1sS5hF8YeyX6AnLK7xL9ip2oqRU00Yk3a/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSD,https://drive.google.com/file/d/1vdOaI7-14Ue1d2x_u4seIinC5z1e0QVl/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSDB,https://drive.google.com/file/d/1cqPskCtux4MNwwUuhyw7xT-y1LPjAMFz/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSDC,https://drive.google.com/file/d/1Jm6DDe5uFI7aQPgmjoUvTPBEYw2RykSz/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSL,https://drive.google.com/file/d/1qtFSC6FMN5Qlgkdh8o6s2X1lsfbvAsFR/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PST,https://drive.google.com/file/d/1JqKzfwY8jPKCWpg1_EfqIGvHLJGJXoEL/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PSTU,https://drive.google.com/file/d/1UkZmjrzjz-_i9zDoDqTGW7CVPUcQmV4G/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PT,https://drive.google.com/file/d/1l9rTV_F7YtsfbgSATVXMK1xVTBQft9ja/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PT do B,https://drive.google.com/file/d/1331MrIVjtsioP0CDZxo4553IEfSReQFH/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PTB,https://drive.google.com/file/d/12YJLUMm1V0PvgALdZYwEPWi6DybRyQTi/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PTC,https://drive.google.com/file/d/1mENY-vZ8P1Xu1l8TcvtDyS4Q1W7MHkD8/view?usp=sharing
2002,Proporcional,Deputado Estadual,,PTN,https://drive.google.com/file/d/17u3MQNhPtjM7PwpfOQhiXJgi6Vu17bCn/view?usp=sharing
2002,Proporcional,Deputado Federal,,PAN,https://drive.google.com/file/d/1D_oV2_HqVZWAVoK8aULnVCPq6hlCW8og/view?usp=sharing
2002,Proporcional,Deputado Federal,,PC do B,https://drive.google.com/file/d/1zrVOszA2N8anWy69LCQ7CrdLWpbeGkTB/view?usp=sharing
2002,Proporcional,Deputado Federal,,PCB,https://drive.google.com/file/d/1pNajQCGAVT4rrfDXOrAgrCFxOMGkI64q/view?usp=sharing
2002,Proporcional,Deputado Federal,,PCO,https://drive.google.com/file/d/1OD25D4i7uWCF1-0miEiX9fQMKic73fTA/view?usp=sharing
2002,Proporcional,Deputado Federal,,PDT,https://drive.google.com/file/d/1nIAqCJxFyuh2wtOyk1yGjxo3CNPRbd1I/view?usp=sharing
2002,Proporcional,Deputado Federal,,PFL,https://drive.google.com/file/d/19Neo901mGZVnaFhxStebjaj2TqGF4c1U/view?usp=sharing
2002,Proporcional,Deputado Federal,,PGT,https://drive.google.com/file/d/14JkwU1nR1x9fGKjyT5BTYSxM8cP2-GqE/view?usp=sharing
2002,Proporcional,Deputado Federal,,PHS,https://drive.google.com/file/d/129rkxmqlF9BLINSeejQiL3DBOco8jsDW/view?usp=sharing
2002,Proporcional,Deputado Federal,,PMDB,https://drive.google.com/file/d/1BI77uPEVnz_zLvxwcfMo15kiaKjNMn7C/view?usp=sharing
2002,Proporcional,Deputado Federal,,PMN,https://drive.google.com/file/d/1Q8JD7oeQR1CE2THtJcwgMAUydVVw7f17/view?usp=sharing
2002,Proporcional,Deputado Federal,,PP,https://drive.google.com/file/d/1D47WZfECDyaBrhMOLHZgmCSgi9h_6AFf/view?usp=sharing
2002,Proporcional,Deputado Federal,,PPS,https://drive.google.com/file/d/1Rb8dmhuK6YndLRW89k-SzQ8gvPtu7OsK/view?usp=sharing
2002,Proporcional,Deputado Federal,,PR,https://drive.google.com/file/d/1r6PsovIR9tCaJ4F-P3NGzw6yd_0BoKK8/view?usp=sharing
2002,Proporcional,Deputado Federal,,PRONA,https://drive.google.com/file/d/1jE14cXfwe2Gy9VfuLBvB97grLVMphG8J/view?usp=sharing
2002,Proporcional,Deputado Federal,,PRP,https://drive.google.com/file/d/11KRnmT4GnNy5-78bBy_zIHvO_rApda83/view?usp=sharing
