municipio,candidato,partido,ano,proposta_1,proposta_2,proposta_3,proposta_4,proposta_5
Aracaju,ALEXANDER ALVES PEREIRA,PRTB,2020,"Criação da Secretaria do Mar, a qual ficará responsável pelo controle e incentivo a pesca, maricultura, transporte marítimo, atividades náuticas e marinas",Promoção de campanhas pró-vida,Proibição de ideologia de gênero e pautas LGBT nas escolas,Privatização de empresas municipais,Encerramento da indústria das multas aplicadas pela Guarda Municipal
Aracaju,ANGELA REGINA HEINZEN AMIN HELOU,PP,2020,"fortalecer as ações de inclusão e acolhimento através da política de assistência social, realizando atendimento de qualidade para as pessoas em situação de vulnerabilidade social.","a desburocratização será a palavra de ordem objetivando simplificar os processos de abertura de empresas e criar condições de incentivos ao empreendedorismo. Serão considerados os incentivos fiscais, a criação de fundos, a atração de novos negócios, e, sobretudo, a capacitação das pessoas para aproveitar as oportunidades de empreendedorismo e o intraempreendedorismo.","Queremos que Florianópolis retome a maricultura como fonte de geração de riqueza, desenvolvimento e prosperidade para o típico pescador artesanal do Município, que tem aí uma grande oportunidade de trabalho","salientamos a importância da administração pública digital, a qual, por meio de processos administrativos eletrônicos e mediante o uso das tecnologias digitais – no caso da saúde usando o tele atendimento – busca aumentar a eficiência, a eficácia, a efetividade, a relevância, a transparência, a participação social, o controle, a simplificação da burocracia, a agilidade e a qualidade na prestação de serviços públicos à população.","vamos impedir ou evitar a criminalização da pobreza, da população negra e outras raças, da comunidade LGBT, da juventude, dos movimentos sociais e seus defensores, valorizando e fortalecendo programas e projetos continuados em educação e na promoção de uma cultura de paz"
Aracaju,ELSON MANOEL PEREIRA,PSOL,2020,"Democratizar o turismo planejando e incentivando a implantação de equipamentos turísticos adaptados às diferentes faixas de renda, como campings, hotéis e pousadas de diferentes categorias","Fortalecer o uso dos espaços culturais, como o Teatro da Ubro, por meio de ações articuladas entre o município e espaços culturais estaduais e federais sediados em Florianópolis, ampliando o acesso da população à cultura, tornando a cidade uma referência cultural no país",Promover a Vigilância Alimentar e Nutricional (VAN) como contribuição do SUS para o enfrentamento do agravamento do flagelo da fome,"Integrar as Políticas de Segurança Municipais aos Conselhos de Segurança (CONSEGs), buscando uma segurança baseada nas relações de vizinhança","Implantar sistema municipal de triagem e gestão de resíduos de potencial mercadológico em parceria com a sociedade organizada, potencial gerador de emprego e renda nas comunidades mais frágeis e vulneráveis do município"
Aracaju,GABRIELA SANTETTI CELESTINO,PSTU,2020,Defendemos a formação de conselhos populares com poder deliberativo superior às câmaras municipais cujas eleições têm regras antidemocráticas e predominância do poder econômico,Contratação de todos os trabalhadores de aplicativos pelas empresas com todos os direitos trabalhistas,Estatização dos hospitais e laboratórios privados sob o controle dos trabalhadores,Estatização da completa da CELESC sob o controle dos trabalhadores,"Abertura de restaurantes populares, respeitando as regras de prevenção ao coronavírus, em todos os bairros com refeições a R$ 1 com prioridade de fornecimento de insumos pela agricultura familiar e cooperativas da reforma agrária"
Aracaju,GEAN MARQUES LOUREIRO,DEM,2020,"Aprimorar o uso do Alô Saúde como instrumento importante no diagnóstico a distância de patologias e de orientação de procedimentos e tratamentos médicos, e utilizar o sistema para o monitoramento a distância de pacientes idosos com riscos de agravamento de saúde e impossibilitados de um controle presencial pela família ou cuidadores, sem prejuízo do atendimento domiciliar pela equipe de saúde da família","Reconhecer a caminhada como um dos modais pertencentes ao Sistema de Transporte, garantindo investimentos e métricas como forma de ampliar o sistema viário para pedestres","Ampliar o videomonitoramento incorporando tecnologia de reconhecimento facial e análise de comportamento dissonante. Utilização de drones para acompanhamento de atividades nas praças, ocupações e atividades irregulares, segurança de instalações",Uso de tecnologia de apoio através de aplicativos – Aplicativo SOMOS – Rede Amiga LGBTQI+ para combate aos crimes de homofobia,"Ampliar a capacidade de gestão da Fundação Franklin Cascaes para estabelecer e acompanhar as parcerias com projetos de iniciativas não governamentais que tenham relevância sociocultural, visando intensificar e qualificar a agenda cultural de Florianópolis"
Aracaju,HELIO CESAR BAIRROS,PATRIOTA,2020,"Creio que poderia haver alguns tipos de iniciativas, como o desenvolvimento de projetos específicos, que pudessem melhorar as condições das trilhas, conectando todas as praias da ilha. Dessa forma, decks, placas de sinalização e o melhoramento da segurança nos locais aumentariam substancialmente a prática de ecoturismo, tanto para turistas, quanto para moradores.","um festival de nome próprio, com espaços para bandas locais, nacionais e estrangeiras seria algo maravilhoso, podendo atrair muitas pessoas e ser mais uma forma de colocar Florianópolis na agenda de grandes eventos do país","buscar-se-á a criação do “Espelho do IPTU”, onde todos poderão acessar sua conta através de um site ou, inclusive, de um aplicativo em no celular. Ali estará contido todos os itens que compõem o IPTU, cada um com seus respectivos valores","é necessário haver uma triagem das pessoas que gostariam de ter domínio sobre suas vidas novamente, com trabalho, um local para ficar e, especialmente, um salário. No cadastro de cada morador em situação de rua, deve estar contido um questionamento sobre sua procedência e se o mesmo possui interesse em trabalhar e ter sua liberdade financeira e sua dignidade restauradas. Dessa forma, de acordo com suas competências, deverão ser encaminhados para abrigos até que tenham condições de se estabelecerem novamente. Porém, os que não quiserem fazer parte da sociedade, serão encaminhados para os seus municípios de origem, pois não será mais permitido continuar na cidade, sendo apenas mais um peso para o município e um incômodo constante para todos os cidadãos","Creio que seja necessário realizar mais campanhas a favor da prática de atividades, talvez realizando parcerias com academias, clubes ou outras entidades, na intenção de estar sempre mostrando os benefícios de uma vida saudável e ativa, ao invés do encorajamento (quase endeusamento) constante que existe desde cedo na vida de jovens, para a “prática” de Netflix e/ou jogos online."
Aracaju,JAIR FERNANDES DE AGUIAR RAMOS,PCO,2020,Abaixo a repressão: dissolução da PM e de todo aparato repressivo; legalização das drogas.,"Fim do ensino pago. Estatização de todo o ensino em todos os níveis. Não a cobrança das mensalidades enquanto não houver vacina, sem cobrança enquanto as aulas estiverem paralisadas.","Pela estatização do sistema de saúde, com atendimento gratuito a toda a população",Pela total gratuidade de todos os serviços e produtos que se relacionem com a maternidade,Assistência económica e social do Estado para as mulheres obrigadas a dar continuidade à gestação indesejada
Aracaju,ORLANDO CELSO DA SILVA NETO,NOVO,2020,vamos estimular a competição de qualidade de desempenho entre as escolas da rede municipal por meio de premiação. Trata-se de um bônus financeiro às escolas que atingirem os resultados desejados em seus indicadores de qualidade e plano de metas. O recurso financeiro do bônus poderá ser adquirido por meio dos recursos repassados à prefeitura pelo Fundo Nacional de Educação Básica (FUNDEB),"Adotaremos, onde possível, o pay-per-use (pague para usar, em tradução livre), objetivando reduzir o fenômeno da tragédia dos comuns na utilização dos serviços do município. Trata-se de focar a cobrança dos serviços municipais nos agentes diretamente interessados em tais serviços, permitindo melhoria do serviço e redução da carga sobre os cidadãos que não os utilizam.",Ampliar o uso da Telemedicina como instrumento importante no diagnóstico a distância de doenças e de orientação de procedimentos e tratamentos médicos,"Os empreendedores podem construir fora dos limites urbanos, mas necessariamente seus negócios devem sustentar a infraestrutura urbana (ruas, esgoto, drenagem, lixo, saúde, educação etc.) necessária à sua implantação e operação. Não é justo o pagador de impostos de uma área central arcar com os altos custos de áreas de baixa densidade espalhadas pela cidade","Facilitar a aprovação de loteamentos, condomínios e desmembramentos – premissa: parcelamento urbano de casas não gera impacto de vizinhança; Condomínios administram seus próprios custos e são uma ótima opção para ocupação de áreas de baixa densidade; Eliminar todo o conjunto de regras (percentuais de áreas de uso comum, número máximo de unidades, dimensões máximas de gleba etc) que prejudicam o desenvolvimento de condomínios"
Aracaju,PEDRO DE ASSIS SILVESTRE,PL,2020,Ampliar as vagas de Residência Médica em Saúde da Família e Medicina de Emergência para atendimento prioritário nas áreas de vulnerabilidade social,"Criar um restaurante popular, ampliando as ações que envolvem a segurança alimentar e nutricional no município","Ampliar as atividades de contraturno escolar para os alunos do ensino fundamental nas áreas cultural, artística, esportiva e habilidades sócio emocional por meio de parcerias com organizações da sociedade civil, garantindo a qualidade e continuidade do serviço prestado","Realizar o levantamento dos imóveis ociosos e subutilizados dos poderes Federal, Estadual e Municipal com o objetivo de firmar parcerias para utilização destes espaços",Implementar mais canaletas/faixas exclusivas para transporte coletivo em locais estratégicos da cidade
Aracaju,RICARDO CAMARGO VIEIRA,SOLIDARIEDADE,2020,"enxugar a “máquina pública”, diminuindo o número de secretarias para quantidade necessária com que se possa ter uma gestão eficiente. Reduzindo as secretarias atuais para apenas 7 (sete), obviamente o número de cargos em comissão irá diminuir também. Isso representará uma diminuição de gastos municipais com o pagamento de folha de pessoal, o valor terá como destino ações para melhorar a qualidade de vida da população, como por exemplo: saúde, educação, segurança pública e obras de infraestrutura","Implementar em todo município a coleta seletiva de lixo onde o caminhão passe no mínimo duas vezes na semana, promover ações de conscientização da população dos benefícios para comunidade e do meio ambiente",Adquirir produtos da merenda escolar por produtores locais a fim de estimular a agricultura no município,"Disponibilizar equipes multidisciplinares de médicos especialistas (psicólogos, oftalmologistas, dentistas) para que em parceria com a Secretaria de Educação atendam as crianças nas escolas e as tratem se necessário, ou encaminhem para tratamento especializado",Valorizar o trabalhador autônomo direcionando a organização da prestação de serviço e também a sua necessidade previdenciária em parceria com o SEBRAE e AMPE
Aracaju,ANIZIO SANTOS DE MELO,PC DO B,2020,"Torna-se necessária a ampliação das Equipes de Saúde da Família e sua capacidade de capilaridade nas periferias, aumentando a contratação de médicos, agentes comunitários de saúde e agentes de epidemia, visando atingir pelo menos 80% de cobertura da cidade",Passe Livre Estudantil,Programa de Desconto de IPTU em que a Prefeitura irá deduzir parte do IPTU de estabelecimentos comerciais que fomentem a cultura conforme especificado no edital do programa.,"Revitalização do centro da cidade a partir do incentivo da ocupação através da moradia, discutir terrenos e prédios abandonados para construção e reforma para moradia em parceria com financiamento bancário popular e em total alinhamento ao Estatuto das Cidades.","Criar um Programa de Desconto na Contribuição de Iluminação Pública (CIP) em que a Prefeitura irá deduzir mensalmente parte da CIP das empresas que tenham novos funcionários com carteira assinada, a partir de 2021, seguindo a lógica de quanto mais funcionários, maior será o percentual de desconto, conforme especificado no edital do programa."
