municipio,candidato,cargo,partido,condicao,paginas_proposta,ano,num_arquivos,url
Angra dos Reis,ALEXANDRE SILVA ESTEVÃO,PREFEITO,PSL,NÃO ELEITO,14,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/499468/5_1600643215060.pdf
Angra dos Reis,LUIS CLAUDIO PEREIRA DAS DORES,PREFEITO,PDT,NÃO ELEITO,12,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/352848/5_1600827523776.pdf
Angra dos Reis,FERNANDO JORDÃO,PREFEITO,MDB,ELEITO,10,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/420783/5_1600455228183.pdf
Angra dos Reis,JANE MOTÉ,PREFEITO,PC DO B,NÃO ELEITO,16,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/423960/5_1600453222608.pdf
Angra dos Reis,MARIO DESCHAMPS,PREFEITO,PV,NÃO ELEITO,45,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/747711/5_1600990980676.pdf
Angra dos Reis,RAFAELLE FIRMINO DOS SANTOS,PREFEITO,PRTB,NÃO ELEITO,13,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/562373/5_1600963959967.pdf
Angra dos Reis,VAGNER ROBELES DE OLIVEIRA RAMOS,PREFEITO,DC,NÃO ELEITO,26,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/712807/5_1601109076643.pdf
Angra dos Reis,JOSÉ AUGUSTO DE ARAUJO VIEIRA,PREFEITO,PP,NÃO ELEITO,20,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/479102/5_1600800494859.pdf
Angra dos Reis,JOSE MIGUEL FILHO,PREFEITO,PT,NÃO ELEITO,47,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58017/426/candidatos/500638/5_1600706288645.pdf
Aperibé,MAGNO CUSTODIO DE CASTRO,PREFEITO,DEM,NÃO ELEITO,16,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58181/426/candidatos/632028/5_1600949272276.pdf
Aperibé,RONALD DE CÁSSIO DAIBES MOREIRA,PREFEITO,PSD,ELEITO,40,2020,1,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2020/RJ/58181/426/candidatos/549510/5_1601039561895.pdf
